2014-10-1,60
2014-10-2,51
2014-10-3,38
2014-10-6,58
2014-10-7,49
2014-10-8,62
2014-10-9,54
2014-10-10,110
2014-10-14,36
2014-10-15,66
2014-10-16,47
2014-10-17,39
2014-10-20,57
2014-10-21,44
2014-10-22,56
2014-10-23,61
2014-10-24,93
2014-10-27,50
2014-10-28,48
2014-10-29,46
2014-10-30,48
2014-10-31,45
2014-11-4,51
2014-11-5,57
2014-11-6,53
2014-11-7,109
2014-11-10,46
2014-11-11,50
2014-11-12,50
2014-11-13,47
2014-11-14,49
2014-11-17,62
2014-11-18,45
2014-11-19,49
2014-11-20,58
2014-11-21,93
2014-11-25,60
2014-11-26,55
2014-11-27,46
2014-11-28,40
