2014-10-1,63
2014-10-2,58
2014-10-3,52
2014-10-6,64
2014-10-7,57
2014-10-8,57
2014-10-9,57
2014-10-10,104
2014-10-14,57
2014-10-15,74
2014-10-16,63
2014-10-17,53
2014-10-20,66
2014-10-21,61
2014-10-22,81
2014-10-23,92
2014-10-24,68
2014-10-27,71
2014-10-28,69
2014-10-29,66
2014-10-30,59
2014-10-31,69
2014-11-4,57
2014-11-5,80
2014-11-6,53
2014-11-7,97
2014-11-10,50
2014-11-11,84
2014-11-12,93
2014-11-13,53
2014-11-14,79
2014-11-17,105
2014-11-18,93
2014-11-19,92
2014-11-20,95
2014-11-21,84
2014-11-25,95
2014-11-26,99
2014-11-27,92
2014-11-28,88
