2014-10-1,52
2014-10-2,56
2014-10-3,65
2014-10-6,52
2014-10-7,60
2014-10-8,60
2014-10-9,59
2014-10-10,74
2014-10-14,58
2014-10-15,52
2014-10-16,58
2014-10-17,58
2014-10-20,52
2014-10-21,59
2014-10-22,54
2014-10-23,56
2014-10-24,71
2014-10-27,53
2014-10-28,56
2014-10-29,47
2014-10-30,51
2014-10-31,54
2014-11-4,61
2014-11-5,59
2014-11-6,60
2014-11-7,76
2014-11-10,59
2014-11-11,59
2014-11-12,62
2014-11-13,54
2014-11-14,58
2014-11-17,52
2014-11-18,59
2014-11-19,54
2014-11-20,58
2014-11-21,72
2014-11-25,53
2014-11-26,56
2014-11-27,55
2014-11-28,60
