2014-10-1,69
2014-10-2,70
2014-10-3,53
2014-10-6,75
2014-10-7,63
2014-10-8,65
2014-10-9,66
2014-10-10,105
2014-10-14,53
2014-10-15,75
2014-10-16,68
2014-10-17,52
2014-10-20,68
2014-10-21,55
2014-10-22,64
2014-10-23,72
2014-10-24,74
2014-10-27,66
2014-10-28,59
2014-10-29,61
2014-10-30,63
2014-10-31,52
2014-11-4,81
2014-11-5,86
2014-11-6,87
2014-11-7,123
2014-11-10,87
2014-11-11,78
2014-11-12,83
2014-11-13,83
2014-11-14,77
2014-11-17,92
2014-11-18,78
2014-11-19,82
2014-11-20,89
2014-11-21,91
2014-11-25,84
2014-11-26,86
2014-11-27,82
2014-11-28,69
